Language name,Alternate language names,Country,Region,Resource Title,Resource URL,Resource type,,,,,,,,
Inupiaq,"Iñupiatun, Inupiaqtun","US, Canada",North America,Doyon Foundation blog with translated information and prevention tips,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
Nee’aanèegn’,"Upper Tanana, Tabesna, Nabesna","US, Canada",North America,Doyon Foundation blog with translated information and prevention tips,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
Kaagan,"Kagan Kalagan, Kinagan",Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/drive/folders/1BRSPZkaqNx3anLgC-6ptEm_gMngv7MaW?usp=sharing,,,,,,,,,
Santali,,India,South Asia,O Foundation WHO video,https://drive.google.com/drive/folders/1m1Dv1feTreOyqLMj3w0VV52vJUcNaX-x,,,,,,,,,
Odia,"Odiya, ଓଡ଼ିଆ",India,South Asia,O Foundation WHO information video,https://drive.google.com/drive/folders/1uNt3EjroKQm5FIolPpPQZV5-37D7hZgS,,,,,,,,,
Gã,Ga,Ghana,Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1_02ZL5VW7W2hQJ0VK-l3-dX-EnylLl1h/view?usp=sharing,,,,,,,,,
Deg,"Mo, Aculo, Buru","Ghana, Ivory Coast",Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1_4s6_7A4bJ6kBIUd3XsiCz6GXblQaTcK/view?usp=sharing,,,,,,,,,
Nzema,"Nzima, Appolo","Ghana, Ivory Coast",Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1_mP99ABuYE829_vkpTTnALwA82AJPOPC/view?usp=sharing,,,,,,,,,
Mamprusi,"Mampruli, Ŋmampulli, Mamprugu",Ghana,Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1_RnkGYqRK1h4ACig7cUozf3U34Eg4XgH/view?usp=sharing,,,,,,,,,
Nabit,"Nab't, Nabt, Nabdem","Ghana, Burkina Faso",Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1_v_xOzp5-3IqRtO_6YRG-EeQA9nAmsyu/view?usp=sharing,,,,,,,,,
Kpelle,"Kpɛlɛɛ, Kpɛlɛwoo","Guinea, Liberia",Africa,Prevention video (bilingual French-Kpelle),https://drive.google.com/file/d/15LurUuXtGeJFSB-IJMD-bDcHC5Y0Bw-A/view?usp=sharing,,,,,,,,,
Vai,,"Liberia, Sierra Leone",Africa,&ldquo,Do the 5&rdquo, guidelines,https://drive.google.com/file/d/1BlIYKfe0oO66lwqig6rxw13A0dqoCJpN/view?usp=sharing,,,,,,,
Akan,,"Ghana, Ivory Coast",Africa,Translated prevention video from Ghanaian govt.,https://drive.google.com/file/d/1DgeJC5vq3rXJfxwiZOQfLxSkkvb_O0ck/view?usp=sharing,,,,,,,,,
Hausa,هَرْشَن هَوْسَ,"Niger, Nigeria, Ghana, Cameroon, Togo, Benin",Africa,Translated prevention video from Ghanaian govt. ,https://drive.google.com/file/d/1fAp1vfj9zPMESXKJP8BHdCBSUecLVyOA/view?usp=sharing,,,,,,,,,
Ewe,,"Ghana, Togo",Africa,Translated prevention video from Ghanaian govt.,https://drive.google.com/file/d/1fIxC43KnROpkfRcYgRfUEy5CRFfs4Bdb/view?usp=sharing,,,,,,,,,
N'Ko Kangbe,,"Mali, Gambia, Guinea, Burkina Faso, C&ocirc;te d'Ivoire",Africa,&ldquo,Do the 5&rdquo, in N'Ko script,https://drive.google.com/file/d/1Grg8yI4Sd8dZJf1KLQsDY82n7Si7VRy_/view?usp=sharing,,,,,,,
Bamum,"Shüpamom, Bamoun",Cameroon,Africa,&ldquo,Do the 5&rdquo, list in Bamum script,https://drive.google.com/file/d/1SNqISw8KSZthALdhUzurVA2DE14MkxbZ/view?usp=sharing,,,,,,,
Twi,Akan Kasa,Ghana,Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1Utp__4CMFQGZ8NI-he_5BWi4J4gxpVVQ/view?usp=sharing,,,,,,,,,
Fante,"Mfantse, Fanti",Ghana,Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1V2cTg0QiMWwI1ETuzWHeqClCrOfRB1Kk/view?usp=sharing,,,,,,,,,
Ewe,,"Ghana, Togo",Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1VAhi3NzsSfQJyD_CeX21ndOUCrMlZxkh/view?usp=sharing,,,,,,,,,
Kasem,"Kasena, Kassena","Ghana, Burkina Faso",Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1ViiAYJIqbOb1ZXnee3Vna8ML5anaHByy/view?usp=sharing,,,,,,,,,
